id,name,price,date,available,room_type,accommodates,bedrooms,beds,amenities,latitude,longitude,property_type,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
108061,Walk to stores/parks/downtown. Fenced yard/Pets OK,100.0,2023-03-19,f,Entire home/apt,2,1.0,1.0,"[""Coffee maker"", ""Cleaning products"", ""Extra pillows and blankets"", ""Pets allowed"", ""Cooking basics"", ""Indoor fireplace: gas"", ""Dishes and silverware"", ""Private entrance"", ""Free street parking"", ""Essentials"", ""Single level home"", ""Free parking on premises"", ""Freezer"", ""Dining table"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Induction stove"", ""Wifi"", ""Carbon monoxide alarm"", ""Blender"", ""Hangers"", ""Central air conditioning"", ""Hot water kettle"", ""Microwave"", ""Books and reading material"", ""Patio or balcony"", ""Long term stays allowed"", ""Central heating"", ""Hot water"", ""Room-darkening shades"", ""Toaster"", ""Kitchen"", ""Wine glasses"", ""Ceiling fan"", ""Host greets you"", ""Smoke alarm"", ""Baking sheet"", ""BBQ grill"", ""Courtyard view"", ""Oven"", ""Dishwasher"", ""Clothing storage"", ""Backyard"", ""Bed linens"", ""Outdoor dining area"", ""Free washer \u2013 In unit"", ""Iron""]",35.6067,-82.55563,Entire rental unit,320564,2010-12-16,"Asheville, NC",within an hour,100%,71%,30,365,92,4.51,0.66,2,2,0,0
155305,Cottage! BonPaul + Sharky's Hostel,100.0,2023-03-19,t,Entire home/apt,2,1.0,1.0,"[""Shampoo"", ""Hair dryer"", ""Coffee maker"", ""Pets allowed"", ""Cooking basics"", ""Dishes and silverware"", ""Private entrance"", ""Free street parking"", ""Essentials"", ""Free parking on premises"", ""Fire extinguisher"", ""Refrigerator"", ""Keypad"", ""Stove"", ""Wifi"", ""Hangers"", ""Microwave"", ""Patio or balcony"", ""Hot water"", ""Kitchen"", ""Self check-in"", ""Smoke alarm"", ""Oven"", ""Heating"", ""Air conditioning"", ""Iron""]",35.57864,-82.59578,Entire guesthouse,746673,2011-06-26,"Asheville, NC",within an hour,100%,99%,1,365,383,4.59,2.7,6,1,2,3
156805,"Private Room ""Ader"" at BPS Hostel",66.0,2023-03-19,f,Private room,2,1.0,1.0,"[""Fire extinguisher"", ""Refrigerator"", ""Microwave"", ""Smoke alarm"", ""Coffee maker"", ""Keypad"", ""Self check-in"", ""Hot water"", ""Breakfast"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen"", ""Cooking basics"", ""Backyard"", ""Dishes and silverware"", ""Heating"", ""Free street parking"", ""Essentials"", ""Lock on bedroom door"", ""Free parking on premises""]",35.57864,-82.59578,Private room in home,746673,2011-06-26,"Asheville, NC",within an hour,100%,99%,1,365,67,4.52,0.48,6,1,2,3
197263,Tranquil Room & Private Bath,45.0,2023-03-19,f,Private room,2,1.0,1.0,"[""Shampoo"", ""Electric stove"", ""Hair dryer"", ""Cleaning products"", ""Extra pillows and blankets"", ""Dryer"", ""Cooking basics"", ""Dishes and silverware"", ""Free street parking"", ""Essentials"", ""Washer"", ""Shared patio or balcony"", ""Free parking on premises"", ""Fire extinguisher"", ""Dining table"", ""Refrigerator"", ""TV"", ""Shower gel"", ""Drying rack for clothing"", ""Wifi"", ""Conditioner"", ""Dedicated workspace"", ""Blender"", ""Hangers"", ""Hot water kettle"", ""Microwave"", ""Clothing storage: closet"", ""Books and reading material"", ""Hot water"", ""Room-darkening shades"", ""Bathtub"", ""Kitchen"", ""Wine glasses"", ""First aid kit"", ""Ceiling fan"", ""Smoke alarm"", ""Oven"", ""Single level home"", ""Bed linens"", ""Heating"", ""Air conditioning"", ""Body soap""]",35.57808,-82.63689,Private room in home,961396,2011-08-12,"Asheville, NC",within a few hours,100%,93%,2,2,66,4.95,0.51,2,1,1,0
209068,Terrace Cottage,100.0,2023-03-19,f,Entire home/apt,4,1.0,2.0,"[""Shampoo"", ""Hair dryer"", ""Coffee maker"", ""Cleaning products"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Dryer"", ""Cooking basics"", ""Dishes and silverware"", ""Private entrance"", ""Essentials"", ""Washer"", ""Free parking on premises"", ""Fire extinguisher"", ""Dining table"", ""Refrigerator"", ""Barbecue utensils"", ""Stove"", ""Wifi"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Baby safety gates"", ""Hangers"", ""Clothing storage: walk-in closet"", ""Central air conditioning"", ""Microwave"", ""Books and reading material"", ""Long term stays allowed"", ""Hot water"", ""Kitchen"", ""Wine glasses"", ""Ceiling fan"", ""HDTV with premium cable"", ""Smoke alarm"", ""Baking sheet"", ""BBQ grill"", ""Oven"", ""Dishwasher"", ""Bed linens"", ""Heating"", ""Iron""]",35.61856,-82.55276,Entire guest suite,1029919,2011-08-28,"Asheville, NC",within a few hours,100%,44%,30,360,60,4.87,0.43,1,1,0,0
246315,Asheville Dreamer's Cabin,68.0,2023-03-19,f,Private room,2,1.0,1.0,"[""Coffee maker"", ""Extra pillows and blankets"", ""Dryer"", ""Cooking basics"", ""Dishes and silverware"", ""Essentials"", ""Washer"", ""Free parking on premises"", ""Fire extinguisher"", ""Refrigerator"", ""Iron"", ""Stove"", ""Wifi"", ""Carbon monoxide alarm"", ""Microwave"", ""Hot water"", ""Kitchen"", ""First aid kit"", ""Smoke alarm"", ""Oven"", ""Dishwasher"", ""Backyard"", ""Bed linens"", ""Heating"", ""Air conditioning"", ""TV with standard cable""]",35.59635,-82.50655,Private room in cabin,1292070,2011-10-14,"Asheville, NC",within a few hours,100%,67%,7,365,57,4.66,0.41,3,2,1,0
259576,"Private, peaceful, and free goat therapy",73.0,2023-03-19,f,Entire home/apt,2,1.0,1.0,"[""Coffee"", ""Hair dryer"", ""Coffee maker"", ""Cleaning products"", ""Extra pillows and blankets"", ""Dryer"", ""Cooking basics"", ""Dishes and silverware"", ""Private entrance"", ""Single level home"", ""Essentials"", ""Washer"", ""Free parking on premises"", ""Fire extinguisher"", ""Freezer"", ""Refrigerator"", ""TV"", ""Shower gel"", ""Board games"", ""Stove"", ""Wifi"", ""Luggage dropoff allowed"", ""Body soap"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Blender"", ""Hangers"", ""Hot water kettle"", ""Microwave"", ""Clothing storage: closet"", ""Books and reading material"", ""Patio or balcony"", ""Outdoor furniture"", ""Long term stays allowed"", ""Toaster"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Wine glasses"", ""First aid kit"", ""Ceiling fan"", ""Self check-in"", ""Lockbox"", ""Outdoor dining area"", ""Mini fridge"", ""Smoke alarm"", ""Baking sheet"", ""Oven"", ""Backyard"", ""Bed linens"", ""Heating"", ""Air conditioning"", ""Sound system with aux"", ""Iron""]",35.61929,-82.48114,Entire rental unit,1362726,2011-11-02,"Asheville, NC",within an hour,100%,100%,2,30,766,4.93,5.57,2,2,0,0
304379,Refocus Cottage - paradise,289.0,2023-03-19,f,Entire home/apt,4,2.0,2.0,"[""Shampoo"", ""Hair dryer"", ""Coffee maker"", ""Extra pillows and blankets"", ""Dryer"", ""Cooking basics"", ""Dishes and silverware"", ""Private entrance"", ""Essentials"", ""Washer"", ""Free parking on premises"", ""Fire extinguisher"", ""Refrigerator"", ""Stove"", ""Children\u2019s books and toys"", ""Wifi"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Hangers"", ""Central air conditioning"", ""Microwave"", ""Patio or balcony"", ""Outdoor furniture"", ""Long term stays allowed"", ""Hot water"", ""Bathtub"", ""Kitchen"", ""First aid kit"", ""Self check-in"", ""Lockbox"", ""Private backyard"", ""Outdoor dining area"", ""Hammock"", ""Ethernet connection"", ""Smoke alarm"", ""BBQ grill"", ""Oven"", ""Dishwasher"", ""Single level home"", ""Bed linens"", ""Heating"", ""TV with standard cable"", ""Iron""]",35.64453,-82.52586,Entire guesthouse,1566145,2012-01-04,"Asheville, NC",within a day,100%,0%,30,365,24,4.9,0.18,2,2,0,0
353092,Athena's Loft:  Find yourself here!,69.0,2023-03-19,f,Entire home/apt,4,1.0,3.0,"[""Shampoo"", ""Hair dryer"", ""Coffee maker"", ""Extra pillows and blankets"", ""Dryer"", ""Dishes and silverware"", ""Private entrance"", ""Essentials"", ""Washer"", ""Free parking on premises"", ""Fire extinguisher"", ""Refrigerator"", ""Shower gel"", ""Keypad"", ""Wifi"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Hangers"", ""Microwave"", ""Hot water"", ""Room-darkening shades"", ""Bathtub"", ""Self check-in"", ""Babysitter recommendations"", ""Smoke alarm"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Heating"", ""Air conditioning"", ""Iron""]",35.58217,-82.59997,Entire guest suite,1788071,2012-02-21,"Asheville, NC",within an hour,100%,100%,2,30,529,4.85,4.54,1,1,0,0
427497,Luxurious Mountain Guest Suite Apartment,159.0,2023-03-19,t,Entire home/apt,2,1.0,1.0,"[""Shampoo"", ""Hair dryer"", ""Dryer"", ""Cooking basics"", ""Dishes and silverware"", ""Essentials"", ""Washer"", ""Free parking on premises"", ""Fire extinguisher"", ""Iron"", ""Wifi"", ""Carbon monoxide alarm"", ""Hangers"", ""Hot water"", ""Kitchen"", ""Indoor fireplace"", ""Host greets you"", ""Smoke alarm"", ""Heating"", ""Air conditioning"", ""TV with standard cable""]",35.49111,-82.48438,Entire guest suite,1909922,2012-03-12,"Asheville, NC",,,,2,90,47,4.98,0.37,1,1,0,0
